Rank,Username,R1 Points,R2 Points,R3 Points
8,nnnnn68,614.0,510.0,575.0
9,trungnotchung,559.0,535.0,455.0
10,duyboy135,434.0,715.0,395.0
11,quydang251,614.0,790.0,140.0
12,flashhh,614.0,610.0,300.0
13,flashmt,434.0,665.0,395.0
14,BaoJiaoPisu,434.0,665.0,395.0
15,magnified,739.0,410.0,300.0
17,_,614.0,665.0,165.0
18,marvinthang,434.0,610.0,395.0
19,nbmnb,614.0,665.0,150.0
20,Khuepr123,614.0,485.0,300.0
21,tungvh04,559.0,410.0,360.0
22,RyoPham,539.0,485.0,300.0
23,ghostwriter,614.0,405.0,300.0
24,tamthegod,434.0,610.0,240.0
25,Mayornaise,434.0,535.0,300.0
26,nvq2309,434.0,535.0,300.0
27,adudakwa,434.0,510.0,300.0
28,anhkha2003,359.0,485.0,395.0
29,pain,559.0,285.0,395.0
30,noobcoder,359.0,510.0,360.0
31,nhphucqt,434.0,485.0,300.0
32,Monarchuwu,434.0,485.0,300.0
33,tuoitrexinloianhchi,434.0,485.0,300.0
35,ntnguyen,434.0,385.0,395.0
36,chemthan,434.0,410.0,370.0
37,minhnguyenxuan60,359.0,610.0,200.0
38,31tranhoangson,434.0,435.0,300.0
39,huyhasun,359.0,510.0,300.0
40,nguyen31hoang08minh2003,359.0,435.0,360.0
41,yamete,434.0,410.0,300.0
42,DeMen100ns,359.0,485.0,300.0
43,tanprodium,359.0,485.0,300.0
44,socpite,614.0,0.0,515.0
45,theshadow_04,434.0,385.0,300.0
46,lmqzzz,434.0,285.0,395.0
47,Mike4235,434.0,405.0,255.0
48,_shin,434.0,360.0,300.0
49,vodacbaoandn,359.0,535.0,195.0
50,tieuphong,434.0,385.0,270.0
51,HungTT,434.0,410.0,240.0
52,bvd,359.0,410.0,300.0
53,haminh0307,359.0,310.0,395.0
54,mewnian,359.0,435.0,255.0
55,karrigan,359.0,485.0,200.0
56,Hien,359.0,435.0,240.0
58,letangphuquy,484.0,485.0,50.0
59,phanlong2811,434.0,285.0,300.0
60,Tphuc2908,359.0,485.0,165.0
61,YugiHackerKhongCopCode,434.0,385.0,165.0
62,Soren_15,434.0,385.0,165.0
63,m2201,434.0,385.0,165.0
64,YouAreMyGalaxy,359.0,485.0,130.0
65,geschmack_cr7,265.0,310.0,395.0
66,SSLios23,434.0,485.0,50.0
67,hieptk,434.0,385.0,150.0
68,NekomataOkayu,359.0,410.0,200.0
69,kazamahoang,180.0,485.0,300.0
70,zipdang04,484.0,410.0,50.0
71,renebaebae,359.0,285.0,300.0
72,vangtrangtan,359.0,335.0,240.0
73,17821147,359.0,360.0,200.0
74,SuckTinHock,359.0,360.0,195.0
75,anhngzv,359.0,360.0,195.0
76,bautroidaysao,294.0,610.0,0.0
77,ProTeam15,265.0,590.0,45.0
78,v2v2v2,359.0,410.0,130.0
79,Gnoucm,180.0,410.0,300.0
80,huutuan,265.0,385.0,240.0
81,quocnghia32,235.0,410.0,240.0
82,Nhoksocqt1,434.0,285.0,160.0
83,dukksoocee,265.0,385.0,225.0
84,kitsune,359.0,310.0,195.0
85,canhnam357,359.0,310.0,180.0
86,codemaivanngu,200.0,535.0,95.0
87,minhkhoaitknine,359.0,285.0,165.0
88,C17H18F3NO,390.0,310.0,105.0
89,LptN21,359.0,285.0,160.0
90,LeXuanSon1_,265.0,385.0,150.0
91,lethienquan28052006,265.0,285.0,240.0
92,BackNoob,434.0,205.0,150.0
93,Duy_e,0.0,465.0,300.0
94,StormgamingKhongCopCode,235.0,360.0,165.0
95,khongbiet,265.0,385.0,105.0
96,anhtai28,340.0,410.0,0.0
97,cbl_nhat,200.0,485.0,60.0
98,Lamduybao,265.0,410.0,65.0
99,dlbm1302,434.0,285.0,15.0
100,PhanDinhKhoi,359.0,310.0,65.0
101,NhatMinh0208,310.0,0.0,420.0
102,tuan06,359.0,310.0,55.0
103,nhuhieu193,434.0,285.0,0.0
104,roseb_,359.0,310.0,50.0
105,ningia203,235.0,310.0,165.0
106,vidut_206_CNH,359.0,285.0,65.0
107,Vbee241005,265.0,310.0,115.0
108,Pikachu,180.0,205.0,300.0
109,wind,359.0,310.0,15.0
110,_Neos_,265.0,285.0,130.0
111,another_alwcod_nn,359.0,310.0,0.0
112,bruh,359.0,310.0,0.0
113,BJMinhNhut,359.0,0.0,300.0
114,datlm,265.0,285.0,105.0
115,DrPuma,340.0,310.0,0.0
116,DP_196,265.0,385.0,0.0
117,sonth97,359.0,240.0,50.0
118,pdt,200.0,205.0,240.0
119,ThienThienThien,235.0,360.0,50.0
120,przxct,359.0,285.0,0.0
121,lto5,265.0,310.0,65.0
122,nghiatranvan0101,200.0,240.0,195.0
123,jjiangly,200.0,310.0,115.0
124,pdduy4206,235.0,360.0,30.0
125,Pikachu123,265.0,240.0,115.0
126,Giangcoder,170.0,285.0,160.0
127,BJoozz,0.0,0.0,610.0
128,L3,265.0,310.0,30.0
129,thinhkl123,170.0,285.0,145.0
130,thanh913,235.0,360.0,0.0
131,etohari,210.0,360.0,15.0
132,Lucky_Noob,265.0,310.0,0.0
133,PhucCNH,170.0,240.0,165.0
134,giahan2005,170.0,240.0,165.0
135,tknhannguyenphu,200.0,285.0,85.0
136,ashirogi,359.0,210.0,0.0
137,namngotau123,265.0,285.0,15.0
138,atomic_lattice,265.0,0.0,300.0
139,n07c02c06,359.0,0.0,205.0
140,hoaphat1,310.0,200.0,50.0
141,leeminhduc2,180.0,285.0,90.0
142,CBNK29_thuckhac,180.0,285.0,90.0
143,hoangquan456,265.0,285.0,0.0
144,leanhduy0206,265.0,285.0,0.0
145,kiennguyen246,265.0,285.0,0.0
146,bubu2006,265.0,285.0,0.0
147,VDH,265.0,285.0,0.0
148,Justinianus2001,115.0,240.0,195.0
149,hathuha,135.0,285.0,130.0
150,hdh_,200.0,240.0,105.0
151,Lomdom_coder,170.0,360.0,15.0
152,huynhchiton981,170.0,310.0,65.0
153,quananh2503,235.0,0.0,300.0
154,Thu,145.0,240.0,150.0
155,nguyentien_z,245.0,240.0,45.0
156,sua_chua_nep_cam,229.0,285.0,15.0
157,_poteitou,265.0,210.0,50.0
158,toidaidot,0.0,360.0,165.0
159,quangminh_0604,235.0,285.0,0.0
160,MinhTuan11,115.0,240.0,165.0
161,Salmon1,265.0,205.0,50.0
162,phanhuykhang,265.0,160.0,85.0
163,nger,50.0,285.0,165.0
164,nguyenchuong18112006,0.0,285.0,210.0
165,Flower_On_Stone,340.0,0.0,150.0
166,CBNK29_Hung,180.0,205.0,105.0
167,JokerFav,0.0,485.0,0.0
168,phamhung2005,265.0,130.0,90.0
169,LetterC67,434.0,50.0,0.0
170,emhocdem070,434.0,50.0,0.0
171,thanh123456,434.0,0.0,50.0
172,syru,265.0,210.0,0.0
173,trunghieu06,170.0,285.0,15.0
174,tranvannhan1911,265.0,205.0,0.0
175,nghquan,180.0,285.0,0.0
176,CaoHuuKhuongDuy,0.0,410.0,50.0
177,caobi,235.0,210.0,15.0
178,ATOM,180.0,280.0,0.0
179,huetrantt,294.0,0.0,165.0
180,WorldCreator,170.0,285.0,0.0
181,nmvinh1215,50.0,285.0,115.0
182,logiaquyetvt,210.0,205.0,30.0
183,wii,200.0,0.0,240.0
184,nobodytk11,115.0,310.0,15.0
185,hung1204,30.0,240.0,165.0
186,czhang2718,434.0,0.0,0.0
187,Amous,0.0,285.0,145.0
188,npmduyy,0.0,285.0,145.0
189,thang31032003,180.0,0.0,250.0
190,taitruong256,210.0,205.0,15.0
191,Tuandq14,150.0,210.0,70.0
192,quadangvaica,200.0,210.0,15.0
193,HuyLol,135.0,285.0,0.0
194,CBNK29Huy,180.0,240.0,0.0
195,tranductri2003,115.0,240.0,65.0
196,nghia05123,200.0,50.0,165.0
197,vietthanh2005,180.0,130.0,105.0
198,Drew_,0.0,410.0,0.0
199,huys31,170.0,240.0,0.0
200,tklinh,170.0,240.0,0.0
201,Ok3LitBruuu,200.0,210.0,0.0
202,ddawst,105.0,190.0,115.0
203,hungphong1035,50.0,210.0,145.0
204,CoderNTT,265.0,125.0,15.0
205,water,115.0,285.0,0.0
206,trickerbp,265.0,130.0,0.0
207,TTNhan,340.0,50.0,0.0
208,HN_CSP_FTRs,50.0,285.0,55.0
209,Vanor,115.0,240.0,15.0
210,cipher_breaker,115.0,205.0,50.0
211,hauvan,115.0,240.0,15.0
212,ducanh2706,80.0,285.0,0.0
213,FoolestBoy,100.0,160.0,105.0
214,PXD,0.0,360.0,0.0
215,RedBull,235.0,125.0,0.0
216,VDCD,235.0,125.0,0.0
217,hhoangcpascal,359.0,0.0,0.0
218,Furion,359.0,0.0,0.0
219,hlkite,359.0,0.0,0.0
220,thaixuandang,359.0,0.0,0.0
221,kaylous,359.0,0.0,0.0
222,Vũ_CG_Coder,359.0,0.0,0.0
223,huythinhtink32,359.0,0.0,0.0
224,h1euct,115.0,240.0,0.0
225,tunangoo,0.0,50.0,300.0
226,Palampge,115.0,130.0,105.0
227,LongString,90.0,210.0,45.0
228,maximus,340.0,0.0,0.0
229,too_old_too_weak,340.0,0.0,0.0
230,duydong05,50.0,285.0,0.0
231,htrung1105,50.0,285.0,0.0
232,dotunakno,170.0,0.0,165.0
233,betapchoi1403,50.0,210.0,75.0
234,dungnc291205,0.0,330.0,0.0
235,princeoftime05,200.0,0.0,130.0
236,huyen08,115.0,210.0,0.0
237,baokhoa,0.0,240.0,85.0
238,Bob15324,265.0,50.0,0.0
239,haison,265.0,50.0,0.0
240,cbl_kiet,115.0,200.0,0.0
241,largefence,0.0,285.0,30.0
242,Aquarius,265.0,0.0,50.0
243,ngqminh_cl2735,0.0,310.0,0.0
244,weibooo,310.0,0.0,0.0
245,daoquanglinh2007,0.0,310.0,0.0
246,huynhtrankhanh,0.0,310.0,0.0
247,dinhmanhhung168,310.0,0.0,0.0
248,shora,310.0,0.0,0.0
249,ind1v,200.0,0.0,105.0
250,DucNguyen_,145.0,160.0,0.0
251,Canhhao,50.0,240.0,15.0
252,UltimateWiener,0.0,285.0,15.0
253,HuuTung,0.0,0.0,300.0
254,katum2005,170.0,130.0,0.0
255,dtmai,170.0,0.0,130.0
256,CBNK28_XUANTHAO,0.0,210.0,85.0
257,huynhtrungkiet09032005,0.0,130.0,165.0
258,rainboy,294.0,0.0,0.0
259,2axolotl,50.0,210.0,30.0
260,AkiYuu,0.0,285.0,0.0
261,Uchihahaha,0.0,285.0,0.0
262,nghiemkythu,235.0,50.0,0.0
263,nkngan,0.0,285.0,0.0
264,aresgod,0.0,285.0,0.0
265,hazzu,235.0,0.0,50.0
266,Hnhat1234,180.0,0.0,105.0
267,K_K,0.0,280.0,0.0
268,nhakhoanon,180.0,50.0,50.0
269,thabumi,115.0,0.0,165.0
270,tuvietthao,265.0,15.0,0.0
271,tientri2210,170.0,110.0,0.0
272,dinhviethieu,0.0,210.0,70.0
273,SKN,265.0,0.0,15.0
274,qrrrq,180.0,50.0,50.0
275,tuanduc8t1,170.0,110.0,0.0
276,thanhnhan,100.0,125.0,50.0
277,giaminh2211,0.0,205.0,70.0
278,accve4,50.0,210.0,15.0
279,begaupong2302,115.0,50.0,105.0
280,MrBB,265.0,0.0,0.0
281,ShineNoLife,265.0,0.0,0.0
282,quoctq01,265.0,0.0,0.0
283,kh0i,265.0,0.0,0.0
284,imagine,265.0,0.0,0.0
285,lequangtrung123,265.0,0.0,0.0
286,minology,265.0,0.0,0.0
287,trnthienphc2003,265.0,0.0,0.0
288,chitrung1,265.0,0.0,0.0
289,huyhamoon,265.0,0.0,0.0
290,Orabelle,265.0,0.0,0.0
291,cbl_hoang,265.0,0.0,0.0
292,CodeBreakerVn,265.0,0.0,0.0
293,lululu,165.0,80.0,15.0
294,VuongQuocHuy,0.0,130.0,130.0
295,Zems,0.0,255.0,0.0
296,goldenskygiang,50.0,205.0,0.0
297,Strkss,50.0,140.0,65.0
298,VietAnhH,115.0,125.0,15.0
299,Dung1207,115.0,125.0,15.0
300,notthanhchauns2,235.0,0.0,15.0
301,trunghai95,200.0,0.0,50.0
302,phamnhatquangpnq,200.0,50.0,0.0
303,GnAs,180.0,50.0,15.0
304,destroy_,180.0,50.0,15.0
305,leth1nh05,180.0,50.0,15.0
306,minhnguyen282,80.0,0.0,165.0
307,TrongMinh03,65.0,130.0,50.0
308,asari,0.0,0.0,240.0
309,hungby04,0.0,0.0,240.0
310,nvatuan,0.0,240.0,0.0
311,cbl09_thuydung,30.0,210.0,0.0
312,minhthang1907,0.0,125.0,115.0
313,Asamai,135.0,0.0,105.0
314,HigherOrderLogic,235.0,0.0,0.0
315,HappyWar,235.0,0.0,0.0
316,lam,235.0,0.0,0.0
317,huynhtuan71ti,235.0,0.0,0.0
318,lewinlight1202,235.0,0.0,0.0
319,tienthanh214,235.0,0.0,0.0
320,bear1,235.0,0.0,0.0
321,Tao_an_chay,235.0,0.0,0.0
322,btk10x,235.0,0.0,0.0
323,kimya,235.0,0.0,0.0
324,pegasus,235.0,0.0,0.0
325,BK04,235.0,0.0,0.0
326,trucmaichy2k5,235.0,0.0,0.0
327,ttwmf,235.0,0.0,0.0
328,hotavn,235.0,0.0,0.0
329,venus,170.0,50.0,15.0
330,Son_Tung_MTP_1,235.0,0.0,0.0
331,thanheco1975,170.0,50.0,15.0
332,DyvH,180.0,50.0,0.0
333,hieu_CVA,180.0,50.0,0.0
334,YuhtGrace,180.0,50.0,0.0
335,thang,0.0,230.0,0.0
336,_Madog_,180.0,50.0,0.0
337,ANHTUANCBN,180.0,50.0,0.0
338,BlackDavid,100.0,130.0,0.0
339,Nimitz,50.0,130.0,50.0
340,ththw,95.0,0.0,130.0
341,EdricAlbert,50.0,160.0,15.0
342,dinhphucaz52,170.0,50.0,0.0
343,HoangViet25,170.0,50.0,0.0
344,trhung1608,170.0,50.0,0.0
345,datbeohbbh,105.0,0.0,115.0
346,quachhuutai1102,115.0,0.0,105.0
347,mie,215.0,0.0,0.0
348,18ti_cqphat,0.0,50.0,165.0
349,killcode03,170.0,15.0,30.0
350,nero,210.0,0.0,0.0
351,violet_chan,0.0,210.0,0.0
352,bruhlmao21,0.0,210.0,0.0
353,duyanhk35itctq,50.0,160.0,0.0
354,livw08,0.0,205.0,0.0
355,vinhnct2005,0.0,205.0,0.0
356,aohkgnadnart,105.0,50.0,50.0
357,manh9205,0.0,50.0,150.0
358,bin9638,0.0,0.0,200.0
359,Overlord,50.0,0.0,150.0
360,hshuynhsang,200.0,0.0,0.0
361,duongk21,0.0,0.0,200.0
362,Francesco4203,200.0,0.0,0.0
363,heinsburg,200.0,0.0,0.0
364,bibocat12,180.0,0.0,15.0
365,Ngan16,0.0,110.0,85.0
366,vanhung18t,50.0,130.0,15.0
367,ltat15032002,50.0,50.0,90.0
368,spnowadays,180.0,0.0,0.0
369,farmerboy,180.0,0.0,0.0
370,vnsckdh,180.0,0.0,0.0
371,Nguyenvng,180.0,0.0,0.0
372,DangMinhTu2006,180.0,0.0,0.0
373,phuongman,180.0,0.0,0.0
374,hoangviet56,180.0,0.0,0.0
375,minhlam2102002,180.0,0.0,0.0
376,Pog_champ,180.0,0.0,0.0
377,avnyu,180.0,0.0,0.0
378,weee,0.0,50.0,130.0
379,3sther,180.0,0.0,0.0
380,txhai12,180.0,0.0,0.0
381,khaitruong922,180.0,0.0,0.0
382,tnbui,180.0,0.0,0.0
383,huuminh365,180.0,0.0,0.0
384,03_01_0v0,180.0,0.0,0.0
385,bqmnhat2313,0.0,130.0,50.0
386,bichtram2503,180.0,0.0,0.0
387,Aphelios,115.0,50.0,15.0
388,wibuthaibinh,115.0,50.0,15.0
389,nthien2008,115.0,50.0,15.0
390,tienbinh,50.0,130.0,0.0
391,arieswhite,0.0,175.0,0.0
392,buihuynhtay,0.0,125.0,50.0
393,quanghuy789po,0.0,125.0,50.0
394,hxzinh,50.0,125.0,0.0
395,VPhgK39,15.0,160.0,0.0
396,hoale86,170.0,0.0,0.0
397,doraemonidol,170.0,0.0,0.0
398,Uk_nim,170.0,0.0,0.0
399,catlover,170.0,0.0,0.0
400,luan_tran16,170.0,0.0,0.0
401,LeSonnn_,170.0,0.0,0.0
402,DOANHONGBAO,170.0,0.0,0.0
403,duyanh,170.0,0.0,0.0
404,viethaocpp,170.0,0.0,0.0
405,ti21nakhoa,170.0,0.0,0.0
406,tqv,170.0,0.0,0.0
407,2werpro,170.0,0.0,0.0
408,gnhmhp,170.0,0.0,0.0
409,nguyendanghien,170.0,0.0,0.0
410,thanhnienyeumeo,170.0,0.0,0.0
411,kakakaka,0.0,170.0,0.0
412,Sammy,170.0,0.0,0.0
413,kaito274,170.0,0.0,0.0
414,HieeuSPhamJ,170.0,0.0,0.0
415,binhbocnc,115.0,0.0,55.0
416,top1chepcode,115.0,50.0,0.0
417,K24PADuc,115.0,50.0,0.0
418,Helu,115.0,0.0,50.0
419,ZuyVuNee,0.0,0.0,165.0
420,hlk27nhan,0.0,0.0,165.0
421,xuanthanhit06,115.0,50.0,0.0
422,tuongtaylor,115.0,50.0,0.0
423,thangnd,115.0,50.0,0.0
424,vuong_dzai243,115.0,50.0,0.0
425,Kei,100.0,50.0,15.0
426,Tomato,115.0,0.0,50.0
427,kakanvk,0.0,50.0,115.0
428,abcn2211,0.0,130.0,30.0
429,dhiep2307,50.0,110.0,0.0
430,minhtuantn,0.0,0.0,150.0
431,HoangNho,0.0,0.0,150.0
432,NobleKross,0.0,0.0,150.0
433,sylv224,150.0,0.0,0.0
434,maitrang051106,50.0,50.0,50.0
435,nguyenhuutho,100.0,50.0,0.0
436,NOFRIEND,50.0,50.0,50.0
437,ghghgh1775,50.0,50.0,50.0
438,ti21_lvhoang,50.0,80.0,15.0
439,thang_1205,115.0,0.0,30.0
440,clint,0.0,125.0,15.0
441,vanctb,135.0,0.0,0.0
442,Ng,35.0,50.0,50.0
443,minhtan,50.0,30.0,55.0
444,top2chepcode,0.0,130.0,0.0
445,diayti,0.0,130.0,0.0
446,nminhkhoi0818,0.0,130.0,0.0
447,abysmal,0.0,130.0,0.0
448,hitonichi,115.0,15.0,0.0
449,vdlong,0.0,130.0,0.0
450,Aurora,0.0,0.0,130.0
451,thanhnhanqn77,0.0,130.0,0.0
452,Hautran,0.0,130.0,0.0
453,anhpha,115.0,0.0,15.0
454,rpkrpkrpk,115.0,0.0,15.0
455,NVĐức_306,115.0,15.0,0.0
456,dswgith,50.0,30.0,50.0
457,mi_tom_3_mien,0.0,125.0,0.0
458,This_is_a_name,0.0,125.0,0.0
459,DaoTienDat,0.0,125.0,0.0
460,casiofx580,0.0,125.0,0.0
461,wakeup4171920,80.0,30.0,15.0
462,minhnguyent546,105.0,15.0,0.0
463,mimibetty,105.0,0.0,15.0
464,zont09,115.0,0.0,0.0
465,ducnhan0804,115.0,0.0,0.0
466,duongcscx,115.0,0.0,0.0
467,IUH_INeedYourSmile,115.0,0.0,0.0
468,PThao_Mis62A,115.0,0.0,0.0
469,binminh01,115.0,0.0,0.0
470,ytuananhptnk,115.0,0.0,0.0
471,provjp365,115.0,0.0,0.0
472,viethq,115.0,0.0,0.0
473,trantri,115.0,0.0,0.0
474,phannhattan,115.0,0.0,0.0
475,raskel,50.0,50.0,15.0
476,Gao_Pink,115.0,0.0,0.0
477,chrispham258,115.0,0.0,0.0
478,TĐT,115.0,0.0,0.0
479,tuanpham1032003,115.0,0.0,0.0
480,WinterWind,115.0,0.0,0.0
481,k63_NguyenHoangGiaa,115.0,0.0,0.0
482,irakiH,115.0,0.0,0.0
483,loideptrai1,115.0,0.0,0.0
484,lmq,115.0,0.0,0.0
485,tester,115.0,0.0,0.0
486,Luatprooo,115.0,0.0,0.0
487,Ikwl,115.0,0.0,0.0
488,GiangPiano,115.0,0.0,0.0
489,hammer23,115.0,0.0,0.0
490,quancao2310,115.0,0.0,0.0
491,dinhieufam,115.0,0.0,0.0
492,quochuong2006,115.0,0.0,0.0
493,nguyenphong233,115.0,0.0,0.0
494,clay,115.0,0.0,0.0
495,mistakee,115.0,0.0,0.0
496,giahuyg98,115.0,0.0,0.0
497,Lam26,115.0,0.0,0.0
498,nhunghongle,115.0,0.0,0.0
499,xxxxx,115.0,0.0,0.0
500,ExitThisEarthAtmosphere,115.0,0.0,0.0
501,Ceyaciuwu,115.0,0.0,0.0
502,anhthao,115.0,0.0,0.0
503,anhquandeku,115.0,0.0,0.0
504,HoangTran84,115.0,0.0,0.0
505,hjhj2211,115.0,0.0,0.0
506,thinhhvt15,100.0,0.0,15.0
507,nhatminh2816,50.0,50.0,15.0
508,Naruto_Uzumaki_06,50.0,50.0,15.0
509,Off_exe,50.0,50.0,15.0
510,tranthach19082006,50.0,50.0,15.0
511,ftwanlin,0.0,80.0,30.0
512,HarmlessAgnes,0.0,110.0,0.0
513,mchou,0.0,0.0,105.0
514,vilesport,0.0,0.0,105.0
515,MegaNight,0.0,0.0,105.0
516,vantri0605,105.0,0.0,0.0
517,Caoducphat,50.0,0.0,55.0
518,MinhNhatmn16,50.0,50.0,0.0
519,daclucf5,50.0,50.0,0.0
520,vtannn_,50.0,50.0,0.0
521,gujunpyo1993,100.0,0.0,0.0
522,fauz,50.0,50.0,0.0
523,trungdc2003,50.0,50.0,0.0
524,ducbrick,0.0,50.0,50.0
525,Pikafalse,0.0,0.0,100.0
526,cokhibk,50.0,0.0,50.0
527,qipepyn,0.0,50.0,50.0
528,Triet17,50.0,50.0,0.0
529,WhoYouKnowsWhoKhongCopCode,50.0,50.0,0.0
530,nguyennn,0.0,50.0,50.0
531,cuongdepzai,50.0,50.0,0.0
532,khanh_zuy16,15.0,0.0,85.0
533,cbl09_ngocdung,50.0,50.0,0.0
534,KKcom2,50.0,50.0,0.0
535,cuong2002k,50.0,50.0,0.0
536,heart2082006,50.0,50.0,0.0
537,phudeeptry_ITK10,0.0,50.0,50.0
538,Vantruong122,50.0,50.0,0.0
539,manager,50.0,0.0,50.0
540,bruhImBlack,95.0,0.0,0.0
541,ktoxztheplatypus,65.0,30.0,0.0
542,dahnerdindahroom,65.0,30.0,0.0
543,cnn008,50.0,30.0,15.0
544,minhduc10i,0.0,0.0,90.0
545,darrkkkkk1,0.0,75.0,15.0
546,nguyenlongduong,0.0,30.0,55.0
547,kamiyabei,35.0,50.0,0.0
548,anhngh194,50.0,30.0,0.0
549,khanh,50.0,15.0,15.0
550,sontran1997,0.0,80.0,0.0
551,thinhelzan842,0.0,80.0,0.0
552,unname,0.0,30.0,50.0
553,kd_angie,50.0,30.0,0.0
554,hunganhlhp,0.0,30.0,50.0
555,NguyenVietHoang__CNTT5__K62,50.0,30.0,0.0
556,K1_GTDANG,50.0,30.0,0.0
557,vu_account,50.0,15.0,15.0
558,102I_pdanh,0.0,30.0,50.0
559,ITK10_Loc,0.0,50.0,30.0
560,huynhyen1609,15.0,50.0,15.0
