Rank,Username,R1 Points,R2 Points,R3 Points
561,VLTisME986,0.0,0.0,70.0
562,npghuy249,0.0,0.0,70.0
563,yoshi_23,65.0,0.0,0.0
564,cuongkashi,65.0,0.0,0.0
565,hlk27nduy,50.0,0.0,15.0
566,nnnan,65.0,0.0,0.0
567,ngocphuit123,50.0,15.0,0.0
568,leminhphuongcbh,0.0,50.0,15.0
569,anov44,50.0,0.0,15.0
570,N02,50.0,15.0,0.0
571,ChilenGaming,15.0,50.0,0.0
572,hlk28quoctruong,0.0,50.0,15.0
573,K1_BTKHIEM,50.0,0.0,15.0
574,Yuushia,15.0,50.0,0.0
575,linhnhatvu05,35.0,30.0,0.0
576,asecretmanX,50.0,0.0,15.0
577,manucian19,0.0,50.0,15.0
578,nana2k2,15.0,50.0,0.0
579,junj66963,50.0,0.0,15.0
580,TwoQuantumBits,50.0,15.0,0.0
581,trinhsytuan,50.0,0.0,15.0
582,KhanhKira,0.0,30.0,30.0
583,sonlh07,0.0,0.0,60.0
584,quangtruongairline,15.0,30.0,15.0
585,tothanhdat1421,15.0,30.0,15.0
586,chungpro,55.0,0.0,0.0
587,desb01,55.0,0.0,0.0
588,nguyenphong__,55.0,0.0,0.0
589,nhatlinh051,50.0,0.0,0.0
590,tomoshibi,50.0,0.0,0.0
591,Atland,50.0,0.0,0.0
592,truongngocgiang99,50.0,0.0,0.0
593,khanhvinh9,50.0,0.0,0.0
594,remaining1,50.0,0.0,0.0
595,meguminn,0.0,50.0,0.0
596,lmaolmao123,0.0,50.0,0.0
597,bastian31utd,50.0,0.0,0.0
598,binmaska28,50.0,0.0,0.0
599,vtthx,50.0,0.0,0.0
600,giabach2003,50.0,0.0,0.0
601,Lazyman,50.0,0.0,0.0
602,pemguimn,0.0,50.0,0.0
603,hoan2k1,50.0,0.0,0.0
604,nhatminnie,50.0,0.0,0.0
605,Bingoblin,0.0,0.0,50.0
606,vuphuchung,50.0,0.0,0.0
607,QuangBui,50.0,0.0,0.0
608,tien4112004,50.0,0.0,0.0
609,adudakqua,0.0,50.0,0.0
610,iceghost,50.0,0.0,0.0
611,n2639,50.0,0.0,0.0
612,skeleton,50.0,0.0,0.0
613,LeVanThuc,0.0,50.0,0.0
614,L_A_T,0.0,50.0,0.0
615,vongocsinh,0.0,50.0,0.0
616,LeThanhMinh,50.0,0.0,0.0
617,ductan2001,50.0,0.0,0.0
618,anhalu,0.0,50.0,0.0
619,Just4Func,50.0,0.0,0.0
620,Phuong070306,50.0,0.0,0.0
621,thienphong,0.0,0.0,50.0
622,DIO_JoJo,50.0,0.0,0.0
623,Shepe,50.0,0.0,0.0
624,kalem,0.0,50.0,0.0
625,forevpurity,50.0,0.0,0.0
626,LeDaiKing,0.0,50.0,0.0
627,PhamTu2k,50.0,0.0,0.0
628,DankDaPancake,50.0,0.0,0.0
629,phuxtrohhg,0.0,50.0,0.0
630,incognito_tab,0.0,50.0,0.0
631,chimkun,50.0,0.0,0.0
632,HoangVu_cva,0.0,50.0,0.0
633,SPRV,50.0,0.0,0.0
634,114tinBachNguyenGia,50.0,0.0,0.0
635,National_Wind,0.0,50.0,0.0
636,toquangnhattink5,0.0,50.0,0.0
637,Vàng_Shiba_TO1K9,50.0,0.0,0.0
638,Songuku95,0.0,0.0,50.0
639,cavang,50.0,0.0,0.0
640,PH07,50.0,0.0,0.0
641,ngohung810it,50.0,0.0,0.0
642,nebrets,50.0,0.0,0.0
643,hoangdeptrai07,50.0,0.0,0.0
644,trho,50.0,0.0,0.0
645,manhtranVN,0.0,50.0,0.0
646,thanhhaxuan02,50.0,0.0,0.0
647,Mrdiaar,0.0,50.0,0.0
648,HoangCoJiSoosocute,50.0,0.0,0.0
649,nhathuypt25,50.0,0.0,0.0
650,CVH1726,50.0,0.0,0.0
651,TNam67,0.0,50.0,0.0
652,k0i,50.0,0.0,0.0
653,zzcongkunzz,50.0,0.0,0.0
654,HonaNguyen,50.0,0.0,0.0
655,Khoi_itk10,0.0,50.0,0.0
656,kieuphat159,50.0,0.0,0.0
657,hoangphat120805,0.0,50.0,0.0
658,stoopidatcoding,0.0,50.0,0.0
659,huyhuy,50.0,0.0,0.0
660,NTTT113,0.0,0.0,50.0
661,nyancat0131,0.0,50.0,0.0
662,khuyenbd8bb,0.0,50.0,0.0
663,QioCass,50.0,0.0,0.0
664,pmcbc,0.0,50.0,0.0
665,Ngoc2002,50.0,0.0,0.0
666,legendminhbeo,50.0,0.0,0.0
667,daoduyan2001,50.0,0.0,0.0
668,DangPhuDuy,0.0,50.0,0.0
669,hoang_thanh_dat,0.0,50.0,0.0
670,ITK10_VinhAn,0.0,50.0,0.0
671,thiuwunh,0.0,50.0,0.0
672,proudanh,0.0,50.0,0.0
673,LongDepTraiYeuEmRatNhieu,0.0,50.0,0.0
674,CBNK29_123Hoa,0.0,50.0,0.0
675,vanhjjsdj,0.0,50.0,0.0
676,BinDy,0.0,50.0,0.0
677,Hillnguyen,0.0,50.0,0.0
678,ekhoavvdd,0.0,50.0,0.0
679,Hlacuatoi3,0.0,50.0,0.0
680,thiencoder,0.0,50.0,0.0
681,as9508,0.0,50.0,0.0
682,tmp,50.0,0.0,0.0
683,nmhienbn,0.0,50.0,0.0
684,anhvt,50.0,0.0,0.0
685,ledangquangcht1912,50.0,0.0,0.0
686,thanhtriet1007,50.0,0.0,0.0
687,thongcoder1,35.0,15.0,0.0
688,23hnHieu,50.0,0.0,0.0
689,Thang_Nhoc_Moi_Tap_Code,0.0,0.0,50.0
690,Shynderio,0.0,50.0,0.0
691,PhuTheChampion,50.0,0.0,0.0
692,congbuithanh,0.0,50.0,0.0
693,tdkduong,0.0,0.0,50.0
694,tritueviet,50.0,0.0,0.0
695,hoang2503,50.0,0.0,0.0
696,ldss,50.0,0.0,0.0
697,tuankhoi296,0.0,50.0,0.0
698,dacle,0.0,0.0,50.0
699,quyle,50.0,0.0,0.0
700,GiveMeTheMailGodDamn_It,50.0,0.0,0.0
701,tranlehai,0.0,50.0,0.0
702,chemend,50.0,0.0,0.0
703,Khoi_cd,0.0,50.0,0.0
704,kkkkkk,50.0,0.0,0.0
705,chilinhxyzabc,50.0,0.0,0.0
706,nguyenhuunhan,50.0,0.0,0.0
707,Yangcoi,50.0,0.0,0.0
708,Duynkvd,50.0,0.0,0.0
709,Pikatrue,0.0,0.0,50.0
710,winner6426,0.0,0.0,50.0
711,abcd1234,35.0,0.0,15.0
712,21,0.0,50.0,0.0
713,HoaiAnDeepTry,50.0,0.0,0.0
714,ndquang,0.0,50.0,0.0
715,minhtam_55,50.0,0.0,0.0
716,114tinnguyennguyenduc,0.0,50.0,0.0
717,hlk28chitinh,0.0,0.0,50.0
718,Anhtriet,0.0,50.0,0.0
719,so,50.0,0.0,0.0
720,khanghb2006,0.0,50.0,0.0
721,tien999,50.0,0.0,0.0
722,sakurathanh0000,50.0,0.0,0.0
723,AckermanulaZygardent,0.0,0.0,50.0
724,enyx,0.0,50.0,0.0
725,npnquynh,50.0,0.0,0.0
726,light123,50.0,0.0,0.0
727,idontknow,0.0,50.0,0.0
728,hoangdeptrai,0.0,50.0,0.0
729,whoami31415,50.0,0.0,0.0
730,yamatekurashai,50.0,0.0,0.0
731,thaonhi1922,0.0,50.0,0.0
732,fusodoya,50.0,0.0,0.0
733,doggilugo,0.0,50.0,0.0
734,flexity,0.0,50.0,0.0
735,tuanle277,50.0,0.0,0.0
736,VoThanhHai,0.0,0.0,50.0
737,Vyvieeee,35.0,0.0,15.0
738,danghpts123,20.0,30.0,0.0
739,levanthuc0202,0.0,50.0,0.0
740,legminhvn,15.0,30.0,0.0
741,ctbhathai,30.0,0.0,15.0
742,hieuhfgr,15.0,30.0,0.0
743,swan_nessie,0.0,30.0,15.0
744,quangvinh204,15.0,30.0,0.0
745,qtran_vox,0.0,30.0,15.0
746,Ga_con_1,30.0,15.0,0.0
747,huyen_TDMU,15.0,30.0,0.0
748,roger235,0.0,30.0,15.0
749,NoN_whitehat,0.0,30.0,15.0
750,naly,15.0,30.0,0.0
751,xtqk,35.0,0.0,0.0
752,kien2008,35.0,0.0,0.0
753,thisisaname,35.0,0.0,0.0
754,goodudetheboy,35.0,0.0,0.0
755,tiozo,35.0,0.0,0.0
756,anhbqtq,35.0,0.0,0.0
757,kttlinhctb,35.0,0.0,0.0
758,trungkiet090325,35.0,0.0,0.0
759,Huy_Khanh_309,35.0,0.0,0.0
760,noobcoder123,35.0,0.0,0.0
761,NTTrung5122,35.0,0.0,0.0
762,txductp,35.0,0.0,0.0
763,HUYENMUMMIN,35.0,0.0,0.0
764,tranduc00vnoi,35.0,0.0,0.0
765,naroonrk,35.0,0.0,0.0
766,ntkiet,35.0,0.0,0.0
767,Copy_Paste,35.0,0.0,0.0
768,kohrabi,35.0,0.0,0.0
769,nguyenvannguyen,35.0,0.0,0.0
770,lnahg,35.0,0.0,0.0
771,K24TVThanh,35.0,0.0,0.0
772,n00bjoin4fun,35.0,0.0,0.0
773,khongphaiphihoang,35.0,0.0,0.0
774,datguverdev,35.0,0.0,0.0
775,phuchoiden,35.0,0.0,0.0
776,cuongminh,35.0,0.0,0.0
777,thismeans123,35.0,0.0,0.0
778,HaoVoxx,35.0,0.0,0.0
779,maicarem,35.0,0.0,0.0
780,CBNK29_GuangHai,30.0,0.0,0.0
781,PTHIfanPedri,30.0,0.0,0.0
782,tienthinhcoder,0.0,30.0,0.0
783,giabao8a70409042008,0.0,30.0,0.0
784,Max4740,0.0,30.0,0.0
785,tiencaominh,0.0,30.0,0.0
786,mngo122,0.0,30.0,0.0
787,bao_nam,30.0,0.0,0.0
788,nhanleff,0.0,15.0,15.0
789,duckhang1412002,0.0,0.0,30.0
790,phungdat2k3,0.0,30.0,0.0
791,fitvimaru,0.0,30.0,0.0
792,bqvkhang,15.0,0.0,15.0
793,nghiaaa,0.0,0.0,30.0
794,nVietUK,0.0,0.0,30.0
795,KSuMinh,0.0,30.0,0.0
796,vanhsusu03,0.0,0.0,30.0
797,nguyendanghau2006,0.0,0.0,30.0
798,NguyenTN091106,0.0,15.0,15.0
799,make_chan_T,30.0,0.0,0.0
800,Quanquan16022003,15.0,0.0,15.0
801,longzealot,0.0,15.0,15.0
802,codingismagic201,20.0,0.0,0.0
803,tuandebu,20.0,0.0,0.0
804,quanghuy,0.0,15.0,0.0
805,throwaway12345,0.0,0.0,15.0
806,lqanh,15.0,0.0,0.0
807,K63_PhamVanSam,15.0,0.0,0.0
808,prohacker,0.0,15.0,0.0
809,classic,0.0,0.0,15.0
810,phuongnamPROPTIT,15.0,0.0,0.0
811,cplusplus,0.0,0.0,15.0
812,anhduc5a1tp,0.0,0.0,15.0
813,hi,15.0,0.0,0.0
814,lis2il,0.0,0.0,15.0
815,fazeisfaze,0.0,0.0,15.0
816,Duck404,0.0,0.0,15.0
817,DuckITK19,0.0,0.0,15.0
818,OKAZU,0.0,0.0,15.0
819,hyhyhy_1606,0.0,15.0,0.0
820,sakura14743,0.0,15.0,0.0
821,PK12345,0.0,0.0,15.0
822,Putin,15.0,0.0,0.0
823,chicken2k7,0.0,15.0,0.0
824,thuankent,0.0,15.0,0.0
825,darkkcout,0.0,0.0,15.0
826,elzanpham,0.0,0.0,15.0
827,tranchihoa,0.0,15.0,0.0
828,txt212,0.0,0.0,15.0
829,vvngh,0.0,0.0,15.0
830,lkva2019,15.0,0.0,0.0
831,xcuongne,0.0,0.0,15.0
832,bankientapcode,15.0,0.0,0.0
833,vanh28,0.0,0.0,15.0
834,trungdt_tik55,0.0,0.0,15.0
835,nhuthanhan2k7,0.0,0.0,15.0
836,theblues,15.0,0.0,0.0
837,rangervodoi,0.0,0.0,15.0
838,mc_huytan202,15.0,0.0,0.0
839,tvnhan_k15,15.0,0.0,0.0
840,tathuyminh,0.0,0.0,15.0
841,baodz123,0.0,0.0,15.0
842,kizuma,0.0,0.0,15.0
843,minhnhatcoder,0.0,0.0,15.0
844,NguyenDucMinh,15.0,0.0,0.0
845,MeowT,0.0,15.0,0.0
846,nhbao,0.0,0.0,15.0
847,hienn,0.0,0.0,15.0
848,minhnhut57,15.0,0.0,0.0
849,yenphuong,0.0,0.0,15.0
850,NguyenDucThien,0.0,0.0,15.0
851,HieuNguyen,0.0,0.0,15.0
852,NguyenBaoAnh,0.0,0.0,15.0
853,code_chay_bang_tiramisu,0.0,0.0,15.0
854,AGiantNut,0.0,0.0,15.0
855,Hasagii,0.0,0.0,15.0
856,Timtimle,0.0,0.0,15.0
857,wongmile,0.0,0.0,15.0
858,thuankq26122002,15.0,0.0,0.0
859,dngdang123,0.0,0.0,15.0
860,gbeu,15.0,0.0,0.0
861,Quynhduyen,0.0,0.0,0.0
862,hieuhuy1402,0.0,0.0,0.0
863,nhipttt,0.0,0.0,0.0
864,NguyenDucManhJR_Vnoi,0.0,0.0,0.0
865,phannguyenanhvu9a4,0.0,0.0,0.0
866,imsuck,0.0,0.0,0.0
867,hieudeeptry,0.0,0.0,0.0
868,orrigizaltaze,0.0,0.0,0.0
869,joseki,0.0,0.0,0.0
870,az,0.0,0.0,0.0
871,Anh_88294,0.0,0.0,0.0
872,huetrungtctv,0.0,0.0,0.0
873,oof,0.0,0.0,0.0
874,corn,0.0,0.0,0.0
875,Locttbtvu,0.0,0.0,0.0
876,aiseven95,0.0,0.0,0.0
877,k1_tqviet,0.0,0.0,0.0
878,jjjj,0.0,0.0,0.0
879,qn1035,0.0,0.0,0.0
880,Kimvo,0.0,0.0,0.0
881,NMCxx,0.0,0.0,0.0
882,doansonghao29102000,0.0,0.0,0.0
883,Pham_Quang_Khai,0.0,0.0,0.0
884,ToilaNhu,0.0,0.0,0.0
885,PBNam2709,0.0,0.0,0.0
886,gatapcode,0.0,0.0,0.0
887,gamhoanglong,0.0,0.0,0.0
888,duylong,0.0,0.0,0.0
889,connornguyxn,0.0,0.0,0.0
890,yea1412,0.0,0.0,0.0
891,doituyentin2k7,0.0,0.0,0.0
892,MiG21_5121,0.0,0.0,0.0
893,canhtoanle,0.0,0.0,0.0
894,M1nh,0.0,0.0,0.0
895,FireGhost130104,0.0,0.0,0.0
896,I_Love_Thuy_Linh,0.0,0.0,0.0
897,nabpro,0.0,0.0,0.0
898,kietvha_THTH,0.0,0.0,0.0
899,lnnv,0.0,0.0,0.0
900,chungdinh,0.0,0.0,0.0
901,neko_nyaaaaaaaaaaaaaaaaaaaaaaa,0.0,0.0,0.0
902,datvit102,0.0,0.0,0.0
903,hiep_nguyen,0.0,0.0,0.0
904,YinLin,0.0,0.0,0.0
905,acevn232,0.0,0.0,0.0
906,Huaans,0.0,0.0,0.0
907,katking,0.0,0.0,0.0
908,trunghieu,0.0,0.0,0.0
909,MinhQNgo,0.0,0.0,0.0
910,KhoaCoolNgau,0.0,0.0,0.0
911,lethienminhhuy01,0.0,0.0,0.0
912,jackykg,0.0,0.0,0.0
913,DMCS,0.0,0.0,0.0
914,iamminh,0.0,0.0,0.0
915,Ziuboy,0.0,0.0,0.0
916,phucvctvn,0.0,0.0,0.0
917,maichi,0.0,0.0,0.0
918,Xcode,0.0,0.0,0.0
919,dieunn,0.0,0.0,0.0
920,ITK10_PhuocDuc,0.0,0.0,0.0
921,Rukashi,0.0,0.0,0.0
922,Choloihuanohoa,0.0,0.0,0.0
923,doanbaanh,0.0,0.0,0.0
924,lmao,0.0,0.0,0.0
925,trytoheckgg,0.0,0.0,0.0
926,imyoursweater,0.0,0.0,0.0
927,What_a_Sh4me,0.0,0.0,0.0
928,lamdungvng,0.0,0.0,0.0
929,kodomotachi,0.0,0.0,0.0
930,nguyentuyen,0.0,0.0,0.0
931,KhaazixGod,0.0,0.0,0.0
932,phanquy,0.0,0.0,0.0
933,datproteinternet,0.0,0.0,0.0
934,TMH,0.0,0.0,0.0
935,phattruongPO344,0.0,0.0,0.0
936,hoangteo0103,0.0,0.0,0.0
937,huyennguyen,0.0,0.0,0.0
938,dauhuyminh,0.0,0.0,0.0
939,K24NTDuc,0.0,0.0,0.0
940,k63_NguyenHuyHoangg,0.0,0.0,0.0
941,NgoAnhHieu,0.0,0.0,0.0
942,k63_DinhDucHung,0.0,0.0,0.0
943,CannotAC,0.0,0.0,0.0
944,ManhTien,0.0,0.0,0.0
945,SickDuck,0.0,0.0,0.0
946,huyngo2002,0.0,0.0,0.0
947,hungt58,0.0,0.0,0.0
948,dinhtiendung,0.0,0.0,0.0
949,_Tunass_,0.0,0.0,0.0
950,codepascalpy1,0.0,0.0,0.0
951,DanGia,0.0,0.0,0.0
952,kamedev,0.0,0.0,0.0
953,yunan30028090,0.0,0.0,0.0
954,khactrung1912,0.0,0.0,0.0
955,NguyenQuangKhai,0.0,0.0,0.0
956,Huynh_Minh_Tri,0.0,0.0,0.0
957,BaoKhong,0.0,0.0,0.0
958,calculuxx,0.0,0.0,0.0
959,nguyenne_i2d,0.0,0.0,0.0
960,nt,0.0,0.0,0.0
961,antruongphuc,0.0,0.0,0.0
962,ccp,0.0,0.0,0.0
963,tnminh,0.0,0.0,0.0
964,dat04567,0.0,0.0,0.0
965,Hcmus,0.0,0.0,0.0
966,Giahung,0.0,0.0,0.0
967,tacl_na,0.0,0.0,0.0
968,sonMH,0.0,0.0,0.0
969,procopcode,0.0,0.0,0.0
970,nhan0510,0.0,0.0,0.0
971,omo_pro,0.0,0.0,0.0
972,vipgun98s2,0.0,0.0,0.0
973,Laputa,0.0,0.0,0.0
974,iamjudas0108,0.0,0.0,0.0
975,xindayhpvn,0.0,0.0,0.0
976,Khuong_K31,0.0,0.0,0.0
977,0979028634,0.0,0.0,0.0
978,nhatlucdao,0.0,0.0,0.0
979,nguyenmautansang,0.0,0.0,0.0
980,Vietcv,0.0,0.0,0.0
981,tran,0.0,0.0,0.0
982,Malosdaf,0.0,0.0,0.0
983,top1buffbann,0.0,0.0,0.0
984,bainaycocodemang,0.0,0.0,0.0
985,minhanh1702,0.0,0.0,0.0
986,truongnh200652,0.0,0.0,0.0
987,dontknowmyname,0.0,0.0,0.0
988,ThuyThuMatTrang,0.0,0.0,0.0
989,caoanhminhhuy,0.0,0.0,0.0
990,DxD,0.0,0.0,0.0
991,tuyendinha,0.0,0.0,0.0
992,duckbutnot100kg,0.0,0.0,0.0
993,nqson,0.0,0.0,0.0
994,phucthuhigh,0.0,0.0,0.0
995,TranVuHaiDang,0.0,0.0,0.0
996,sunooo,0.0,0.0,0.0
997,sktt1,0.0,0.0,0.0
998,Sanderio,0.0,0.0,0.0
999,shiron104,0.0,0.0,0.0
1000,jayruizluu,0.0,0.0,0.0
1001,hhuukhang,0.0,0.0,0.0
1002,zeenaw,0.0,0.0,0.0
1003,whyareulookingatmyname,0.0,0.0,0.0
1004,hieuad33,0.0,0.0,0.0
1005,k63_dohoangthanhhai,0.0,0.0,0.0
1006,hungTranAI,0.0,0.0,0.0
1007,XLong,0.0,0.0,0.0
1008,Quene_Huy,0.0,0.0,0.0
1009,Toniluu_123,0.0,0.0,0.0
1010,_NooberrUwU,0.0,0.0,0.0
1011,2dtkingslayer,0.0,0.0,0.0
1012,kv,0.0,0.0,0.0
1013,callmevananh,0.0,0.0,0.0
1014,duc_giang1105,0.0,0.0,0.0
1015,huycl7,0.0,0.0,0.0
1016,Thieunang4,0.0,0.0,0.0
1017,Thieunang1,0.0,0.0,0.0
1018,hoang3409,0.0,0.0,0.0
1019,Genhakiyama,0.0,0.0,0.0
1020,leanlap2793,0.0,0.0,0.0
1021,yuhnb,0.0,0.0,0.0
1022,kietmap13_09,0.0,0.0,0.0
1023,thangbnvh,0.0,0.0,0.0
1024,MDE,0.0,0.0,0.0
1025,VNA_Shiro,0.0,0.0,0.0
1026,lamlee,0.0,0.0,0.0
1027,HuyObs,0.0,0.0,0.0
1028,trung2003lucky,0.0,0.0,0.0
1029,Onsra02,0.0,0.0,0.0
1030,Ymieu,0.0,0.0,0.0
1031,hokplex,0.0,0.0,0.0
1032,BuiHaiNghiaa,0.0,0.0,0.0
1033,dontneedprize,0.0,0.0,0.0
1034,minhphannq,0.0,0.0,0.0
1035,pdinh,0.0,0.0,0.0
1036,ploc586,0.0,0.0,0.0
1037,HarryLee,0.0,0.0,0.0
1038,solarjade_06,0.0,0.0,0.0
1039,Hungbadao123,0.0,0.0,0.0
1040,pal,0.0,0.0,0.0
1041,hohuylqd,0.0,0.0,0.0
1042,aduyphm,0.0,0.0,0.0
1043,nnvan,0.0,0.0,0.0
1044,ImBored,0.0,0.0,0.0
1045,quan2k8,0.0,0.0,0.0
1046,nghiabom9999,0.0,0.0,0.0
1047,JustA,0.0,0.0,0.0
1048,khoi891r,0.0,0.0,0.0
1049,hoadoan1710,0.0,0.0,0.0
1050,dylantamau,0.0,0.0,0.0
1051,thanhhieu2k7,0.0,0.0,0.0
1052,HFFTeam,0.0,0.0,0.0
1053,TDV,0.0,0.0,0.0
1054,zerodog,0.0,0.0,0.0
1055,TDuyDat,0.0,0.0,0.0
1056,Vinh_17_51,0.0,0.0,0.0
1057,HuyNhay,0.0,0.0,0.0
1058,bichsonnhat,0.0,0.0,0.0
1059,htthtt12t1,0.0,0.0,0.0
1060,tuda123,0.0,0.0,0.0
1061,vo_nhiem,0.0,0.0,0.0
1062,toilavu,0.0,0.0,0.0
1063,Dino2_4G,0.0,0.0,0.0
1064,toib,0.0,0.0,0.0
1065,mfnintd,0.0,0.0,0.0
1066,ti20_dtlong,0.0,0.0,0.0
1067,vqt,0.0,0.0,0.0
1068,hoangxuanbach,0.0,0.0,0.0
1069,lamlaicuocdoi,0.0,0.0,0.0
1070,vcnam,0.0,0.0,0.0
1071,quyet,0.0,0.0,0.0
1072,TÀI_auto_ưin,0.0,0.0,0.0
1073,the_best_memory,0.0,0.0,0.0
1074,NDTD,0.0,0.0,0.0
1075,quoctrungbp48,0.0,0.0,0.0
1076,Nguyen_Cao_Cuong,0.0,0.0,0.0
1077,thaitanhaha,0.0,0.0,0.0
1078,B20DCPT053,0.0,0.0,0.0
1079,vqhung123,0.0,0.0,0.0
1080,nat,0.0,0.0,0.0
1081,tan311,0.0,0.0,0.0
1082,khanhtuanitk20,0.0,0.0,0.0
1083,yakuza2006,0.0,0.0,0.0
1084,trantungduong,0.0,0.0,0.0
1085,__,0.0,0.0,0.0
1086,sicalotut,0.0,0.0,0.0
1087,thaithongthai26019,0.0,0.0,0.0
1088,phuctrumit,0.0,0.0,0.0
1089,iwantagf,0.0,0.0,0.0
1090,khangzzz,0.0,0.0,0.0
1091,CBNk29_LuuHieu,0.0,0.0,0.0
1092,nguyenhongnguyen,0.0,0.0,0.0
1093,vietanh0308,0.0,0.0,0.0
1094,giahuyyy,0.0,0.0,0.0
1095,hoahoc,0.0,0.0,0.0
1096,anhkhoavu2007,0.0,0.0,0.0
1097,donghuyhoang,0.0,0.0,0.0
1098,taikon,0.0,0.0,0.0
1099,giraffecoder,0.0,0.0,0.0
1100,Mai_08,0.0,0.0,0.0
1101,6n4hk,0.0,0.0,0.0
1102,DgithNo1_aka_ybits,0.0,0.0,0.0
1103,opcleaver0,0.0,0.0,0.0
1104,peody2607,0.0,0.0,0.0
1105,PeNus1802,0.0,0.0,0.0
1106,dhiep9798,0.0,0.0,0.0
1107,nxthanhit2021,0.0,0.0,0.0
1108,atuncpp,0.0,0.0,0.0
1109,nguyentuanhhh,0.0,0.0,0.0
1110,trieuyanglake_1,0.0,0.0,0.0
1111,lehoangtrong195,0.0,0.0,0.0
1112,DangAnhxd,0.0,0.0,0.0
1113,NoContestHere,0.0,0.0,0.0
1114,sleep,0.0,0.0,0.0
1115,krg02,0.0,0.0,0.0
1116,Peter1023,0.0,0.0,0.0
1117,nnphu1209,0.0,0.0,0.0
1118,thefless,0.0,0.0,0.0
1119,noregiann,0.0,0.0,0.0
1120,ti20_ntson,0.0,0.0,0.0
1121,thangktvn2004,0.0,0.0,0.0
1122,duy21,0.0,0.0,0.0
1123,hung3a8,0.0,0.0,0.0
1124,Dũng1712,0.0,0.0,0.0
1125,huuhoangabcd,0.0,0.0,0.0
1126,HaYoungJoon,0.0,0.0,0.0
1127,vttk1901,0.0,0.0,0.0
1128,huytung,0.0,0.0,0.0
1129,tranconganhkhoa159,0.0,0.0,0.0
1130,hoanggia042006,0.0,0.0,0.0
1131,phongntn,0.0,0.0,0.0
1132,sodangerous123,0.0,0.0,0.0
1133,bbq,0.0,0.0,0.0
1134,kkk10t1,0.0,0.0,0.0
1135,bdgbao,0.0,0.0,0.0
1136,schizocatto,0.0,0.0,0.0
1137,dobietai,0.0,0.0,0.0
1138,hieupham1103,0.0,0.0,0.0
1139,21T1020427,0.0,0.0,0.0
1140,_Apok_,0.0,0.0,0.0
1141,tourist_slayer,0.0,0.0,0.0
1142,Funny,0.0,0.0,0.0
1143,AnhTranCPP,0.0,0.0,0.0
1144,3000problemsin9months,0.0,0.0,0.0
1145,Guts,0.0,0.0,0.0
1146,gduchuy81,0.0,0.0,0.0
1147,21521984,0.0,0.0,0.0
1148,shouboutai123,0.0,0.0,0.0
1149,ThanhTuyen,0.0,0.0,0.0
1150,TobiOnTop,0.0,0.0,0.0
1151,VQUANG707,0.0,0.0,0.0
1152,new_is_always_better,0.0,0.0,0.0
1153,thu_an,0.0,0.0,0.0
1154,manh07,0.0,0.0,0.0
1155,nooneknowme,0.0,0.0,0.0
1156,Pikadak,0.0,0.0,0.0
1157,hlk28khuong,-9999.0,50.0,50.0
1158,ngphongCp,0.0,-9999.0,0.0
